,Model,,Line,OOC,OOS
PI100,A101EAN01,TFT,CAPIC100,0.5,0.8
PI100,B070AAN01,TFT,CAPIC100,0.5,0.8
PI100,B070AAN1Y,TFT,CAPIC100,0.5,0.8
PI100,B080EAN05,TFT,CAPIC100,0.5,0.8
PI100,B101EAN02,TFT,CAPIC100,0.5,0.8
PI100,B101EAN2A,TFT,CAPIC100,0.5,0.8
PI100,B101EAT01,TFT,CAPIC100,0.5,0.8
PI100,B101UAX01,TFT,CAPIC100,0.5,0.8
PI100,B116XAN06,TFT,CAPIC100,0.5,0.8
PI100,B140HAN4Q,TFT,CAPIC100,0.5,0.8
PI100,B140HAN4W,TFT,CAPIC100,0.5,0.8
PI100,B140UAN04,TFT,CAPIC100,0.5,0.8
PI100,B140UAN08,TFT,CAPIC100,0.5,0.8
PI100,B140UAN8A,TFT,CAPIC100,0.5,0.8
PI100,B153UAN01,TFT,CAPIC100,0.5,0.8
PI100,B153UAN02,TFT,CAPIC100,0.5,0.8
PI100,B153UAN03,TFT,CAPIC100,0.5,0.8
PI100,B156HAN01,TFT,CAPIC100,0.5,0.8
PI100,B156HAN02,TFT,CAPIC100,0.5,0.8
PI100,B156HAN2U,TFT,CAPIC100,0.5,0.8
PI100,B156HTN06,TFT,CAPIC100,0.5,0.8
PI100,B160UAN03,TFT,CAPIC100,0.5,0.8
PI100,B160UAN04,TFT,CAPIC100,0.5,0.8
PI100,B160UAN05,TFT,CAPIC100,0.5,0.8
PI100,B160UAN07,TFT,CAPIC100,0.5,0.8
PI100,B160UAN08,TFT,CAPIC100,0.5,0.8
PI100,B160UAN4A,TFT,CAPIC100,0.5,0.8
PI100,B160UAN4H,TFT,CAPIC100,0.5,0.8
PI100,B160UAN4X,TFT,CAPIC100,0.5,0.8
PI100,B160UAN5L,TFT,CAPIC100,0.5,0.8
PI100,B160UAN7J,TFT,CAPIC100,0.5,0.8
PI100,B160UAN8A,TFT,CAPIC100,0.5,0.8
PI100,B160UAV01,TFT,CAPIC100,0.5,0.8
PI100,B170UAN01,TFT,CAPIC100,0.5,0.8
PI100,B173RTN03,TFT,CAPIC100,0.5,0.8
PI100,B180UAN1A,TFT,CAPIC100,0.5,0.8
PI100,B180UAN1B,TFT,CAPIC100,0.5,0.8
PI100,G101EAN2G,TFT,CAPIC100,0.5,0.8
PI100,G101SAN01,TFT,CAPIC100,0.5,0.8
PI100,G213QAN02,TFT,CAPIC100,0.5,0.8
PI100,G215HVN01,TFT,CAPIC100,0.5,0.8
PI100,G238HAT01,TFT,CAPIC100,0.5,0.8
PI100,G240UAN1C,TFT,CAPIC100,0.5,0.8
PI100,G240UAN1D,TFT,CAPIC100,0.5,0.8
PI100,G240UAN1F,TFT,CAPIC100,0.5,0.8
PI100,G270HAN1G,TFT,CAPIC100,0.5,0.8
PI100,G270QAN02,TFT,CAPIC100,0.5,0.8
PI100,G270QAN1C,TFT,CAPIC100,0.5,0.8
PI100,G270QAN1D,TFT,CAPIC100,0.5,0.8
PI100,G270ZAN02,TFT,CAPIC100,0.5,0.8
PI100,G304QAN01,TFT,CAPIC100,0.5,0.8
PI100,G304ZAN01,TFT,CAPIC100,0.5,0.8
PI100,G304ZAN1Z,TFT,CAPIC100,8,10
PI100,G320ZAN02,TFT,CAPIC100,0.5,0.8
PI100,G320ZAN1A,TFT,CAPIC100,0.5,0.8
PI100,G320ZAN1B,TFT,CAPIC100,0.5,0.8
PI100,G320ZAN2A,TFT,CAPIC100,0.5,0.8
PI100,G320ZAN2B,TFT,CAPIC100,0.5,0.8
